country,year,fertility,gdp_capita,life_expectancy,population
Tanzania,1950,6.7,1170,44.3,7650000
Thailand,1950,6.13,1140,52.9,20700000
Timor-Leste,1950,6.51,704,32.5,415000
Togo,1950,6.34,1070,37.1,1400000
Tonga,1950,7.33,1380,59.9,47200
Trinidad and Tobago,1950,5.28,4330,57.7,646000
Tunisia,1950,6.66,1860,42.5,3610000
Turkey,1950,6.7,2580,42.3,21400000
Turkmenistan,1950,5.63,4890,50.0,1210000
Uganda,1950,6.89,1070,38.9,5160000
Ukraine,1950,2.72,4250,61.7,37300000
United Arab Emirates,1950,6.94,1210,42.6,69600
United Kingdom,1950,2.08,10800,68.7,50600000
United States,1950,3.02,15200,68.2,159000000
Uruguay,1950,2.69,6890,65.9,2240000
Uzbekistan,1950,5.43,1980,55.9,6260000
Vanuatu,1950,7.68,1300,43.9,47700
Venezuela,1950,6.54,9550,55.0,5480000
Vietnam,1950,4.96,971,48.2,24800000
Yemen,1950,7.32,1440,23.8,4660000
Zambia,1950,6.67,1980,44.5,2310000
Zimbabwe,1950,6.75,1150,49.1,2750000
Afghanistan,1951,7.56,2420,32.9,7840000
Albania,1951,5.97,1860,54.4,1290000
Algeria,1951,7.47,4650,47.5,9020000
Angola,1951,7.13,3260,35.5,4620000
Antigua and Barbuda,1951,4.46,3560,58.8,46500
Argentina,1951,3.16,8910,61.1,17400000
Armenia,1951,4.51,2000,58.7,1380000
Australia,1951,3.06,13600,68.9,8400000
Austria,1951,2.02,6860,65.4,6930000
Azerbaijan,1951,5.25,3700,55.4,2990000
Bahamas,1951,3.99,11600,59.0,80000
Bahrain,1951,7.01,16700,42.6,117000
Bangladesh,1951,6.27,1120,40.5,38700000
Barbados,1951,4.49,2810,59.4,216000
Belarus,1951,2.54,2820,64.6,7700000
Belgium,1951,2.32,9430,66.8,8680000
Belize,1951,6.68,2100,55.9,71200
Benin,1951,5.78,1310,35.9,2260000
Bhutan,1951,6.67,858,36.5,181000
Bolivia,1951,6.73,3390,42.9,3120000
Bosnia and Herzegovina,1951,5.13,1620,53.1,2710000
Botswana,1951,6.48,793,47.7,424000
Brazil,1951,6.17,2950,51.5,55600000
Brunei,1951,7.36,61200,53.9,50900
Bulgaria,1951,2.62,3460,60.6,7310000
Burkina Faso,1951,6.05,511,33.6,4320000
Burundi,1951,6.81,556,39.7,2360000
Cambodia,1951,6.95,476,42.4,4540000
Cameroon,1951,5.52,1530,41.3,4380000
Canada,1951,3.49,12700,68.5,14100000
Cape Verde,1951,6.51,1490,53.4,186000
Central African Republic,1951,5.43,1330,36.2,1340000
Chad,1951,6.07,1020,41.3,2540000
Chile,1951,4.9,5230,55.2,6730000
China,1951,5.26,758,42.5,570000000
Colombia,1951,6.77,3410,52.3,12300000
Comoros,1951,5.77,745,42.3,163000
"Congo, Dem. Rep.",1951,5.99,1720,43.1,12400000
"Congo, Rep.",1951,5.67,1980,39.0,842000
Costa Rica,1951,6.17,3020,57.8,972000
Cote d'Ivoire,1951,6.66,2530,35.5,2690000
Croatia,1951,2.9,4150,60.4,3890000
Cuba,1951,4.56,3880,60.0,6050000
Cyprus,1951,3.81,3380,65.1,500000
Czech Republic,1951,2.84,7460,65.1,9010000
Denmark,1951,2.5,12500,70.8,4310000
Djibouti,1951,6.3,3290,46.9,63300
Dominican Republic,1951,7.54,2600,49.4,2440000
Ecuador,1951,6.71,3380,51.4,3560000
Egypt,1951,6.66,2410,38.3,20900000
El Salvador,1951,6.23,3270,45.7,2240000
Equatorial Guinea,1951,5.59,927,37.2,231000
Eritrea,1951,6.94,821,37.0,835000
Estonia,1951,2.08,4880,59.7,1110000
Eswatini,1951,6.71,952,42.9,279000
Ethiopia,1951,7.3,526,33.5,18500000
Fiji,1951,6.4,2560,56.2,296000
Finland,1951,3.01,7400,65.5,4050000
France,1951,2.81,8980,66.3,42000000
Gabon,1951,5.11,2880,40.0,476000
Gambia,1951,5.24,1190,39.9,309000
Georgia,1951,3.04,2630,58.1,3560000
Germany,1951,2.09,8500,67.2,70300000
Ghana,1951,6.39,1700,45.6,5140000
Greece,1951,2.38,3970,67.7,7740000
Grenada,1951,5.36,1610,57.0,76600
Guatemala,1951,7.16,3120,39.9,3210000
Guinea,1951,5.98,717,38.7,3050000
Guinea-Bissau,1951,6.78,640,36.1,544000
Guyana,1951,5.6,3960,58.9,419000
Haiti,1951,6.31,2480,35.8,3270000
Honduras,1951,7.48,2440,45.0,1590000
Hungary,1951,2.76,6560,62.3,9480000
Iceland,1951,3.69,7460,71.0,145000
India,1951,5.9,829,35.5,382000000
Indonesia,1951,5.39,1510,37.8,70800000
Iran,1951,6.91,4660,42.6,17500000
Iraq,1951,7.88,10100,36.7,5900000
Ireland,1951,3.45,7170,65.0,2910000
Israel,1951,4.45,4700,64.4,1350000
Italy,1951,2.42,6900,65.3,47000000
Jamaica,1951,3.91,2750,57.9,1440000
Japan,1951,3.34,3340,61.4,84300000
Jordan,1951,7.5,3490,46.0,536000
Kazakhstan,1951,4.33,5980,55.7,6810000
Kenya,1951,7.39,1770,45.7,6240000
Kiribati,1951,5.85,2100,45.4,33600
Kuwait,1951,7.22,6030,53.8,158000
Kyrgyz Republic,1951,4.26,2550,51.7,1770000
Lao,1951,5.94,822,37.3,1720000
Latvia,1951,2.01,4170,60.6,1930000
Lebanon,1951,5.75,10400,61.0,1360000
Lesotho,1951,5.82,405,45.9,717000
Liberia,1951,6.26,1040,37.9,944000
Libya,1951,7.17,3210,41.8,1140000
Lithuania,1951,2.79,6250,63.9,2570000
Luxembourg,1951,1.9,11400,66.0,298000
Madagascar,1951,7.3,1960,39.4,4170000
Malawi,1951,6.81,484,38.1,3010000
Malaysia,1951,6.28,2680,53.7,6270000
Maldives,1951,5.72,1570,30.7,74200
Mali,1951,6.68,617,31.4,4760000
Malta,1951,4.2,1660,65.4,312000
Mauritania,1951,6.18,1080,40.7,667000
Mauritius,1951,5.99,2770,47.5,506000
Mexico,1951,6.68,4370,49.5,28700000
"Micronesia, Fed. Sts.",1951,7.28,1190,52.8,33400
Moldova,1951,3.49,2670,57.1,2380000
Mongolia,1951,5.5,1890,41.4,794000
Montenegro,1951,4.31,4770,60.7,401000
Morocco,1951,6.52,2380,46.8,9240000
Mozambique,1951,6.79,351,35.5,6060000
Myanmar,1951,6.02,526,31.2,18100000
Namibia,1951,5.97,4160,44.3,524000
Nepal,1951,5.98,791,39.5,8660000
Netherlands,1951,3.05,10900,71.6,10200000
New Zealand,1951,3.27,12600,69.1,1950000
Nicaragua,1951,6.98,3860,43.5,1330000
Niger,1951,7.06,974,40.2,2640000
Nigeria,1951,6.36,2060,43.5,38400000
North Korea,1951,2.41,518,29.9,10200000
North Macedonia,1951,4.72,2600,55.1,1290000
Norway,1951,2.48,17100,72.3,3300000
Oman,1951,7.25,3620,34.1,462000
Pakistan,1951,6.6,1190,38.2,38000000
Palestine,1951,7.5,1220,50.5,924000
Panama,1951,5.7,2640,58.4,881000
Papua New Guinea,1951,6.23,959,37.8,2010000
Paraguay,1951,6.49,2540,65.6,1510000
Peru,1951,6.9,4090,39.7,7980000
Philippines,1951,6.88,2160,57.0,19200000
Poland,1951,3.62,4880,59.8,25300000
Portugal,1951,3.1,3750,58.8,8420000
Qatar,1951,6.97,2080,51.4,27500
Romania,1951,3.43,2030,61.2,16500000
Russia,1951,2.88,6700,57.8,104000000
Rwanda,1951,7.94,622,41.3,2250000
Samoa,1951,7.64,3010,53.1,84400
Sao Tome and Principe,1951,6.22,1400,47.5,59200
Saudi Arabia,1951,7.19,11400,48.5,3200000
Senegal,1951,6.63,1810,41.3,2550000
Serbia,1951,3.49,3580,58.8,6850000
Seychelles,1951,5.1,4620,58.5,36900
Sierra Leone,1951,5.9,954,35.5,2060000
Singapore,1951,6.54,4250,59.7,1070000
Slovak Republic,1951,3.57,6070,61.3,3510000
Slovenia,1951,2.75,3990,63.9,1480000
Solomon Islands,1951,6.4,957,44.9,91800
Somalia,1951,7.25,1040,38.9,2310000
South Africa,1951,6.34,6150,47.3,13900000
South Korea,1951,4.76,1080,41.0,19500000
South Sudan,1951,6.67,1930,34.9,2500000
Spain,1951,2.47,4480,61.2,28200000
Sri Lanka,1951,5.87,1880,52.4,8110000
St. Lucia,1951,5.53,1950,53.0,83800
St. Vincent and the Grenadines,1951,7.28,2200,50.2,68100
Sudan,1951,6.67,1960,43.9,5880000
Suriname,1951,6.57,5230,55.1,222000
Sweden,1951,2.21,11700,71.3,7070000
Switzerland,1951,2.32,22600,68.9,4720000
Syria,1951,7.19,1680,50.8,3500000
Tajikistan,1951,5.53,2560,51.0,1580000
Tanzania,1951,6.71,1290,44.5,7840000
Thailand,1951,6.13,1180,53.1,21300000
Timor-Leste,1951,6.49,706,32.8,419000
Togo,1951,6.33,1090,37.5,1430000
Tonga,1951,7.32,1400,60.1,49300
Trinidad and Tobago,1951,5.28,4590,58.0,659000
Tunisia,1951,6.66,1850,42.7,3700000
Turkey,1951,6.69,2860,42.6,22000000
Turkmenistan,1951,5.58,4820,50.3,1230000
Uganda,1951,6.89,997,39.2,5310000
Ukraine,1951,2.75,4240,61.3,37800000
United Arab Emirates,1951,6.95,1220,43.3,67500
United Kingdom,1951,2.1,11100,68.3,50600000
United States,1951,3.2,16100,68.3,161000000
Uruguay,1951,2.7,7420,66.0,2260000
Uzbekistan,1951,5.46,1980,56.1,6470000
Vanuatu,1951,7.66,1310,44.3,48900
Venezuela,1951,6.51,10200,55.3,5730000
Vietnam,1951,5.08,998,48.6,25400000
Yemen,1951,7.32,1450,24.2,4720000
Zambia,1951,6.68,2060,44.8,2370000
Zimbabwe,1951,6.76,1190,49.3,2830000
Afghanistan,1952,7.55,2460,33.6,7940000
Albania,1952,6.13,1860,54.8,1320000
Algeria,1952,7.44,4810,48.0,9190000
Angola,1952,7.15,3340,36.0,4710000
Antigua and Barbuda,1952,4.5,3640,59.3,47400
Argentina,1952,3.16,8290,61.6,17700000
Armenia,1952,4.49,2110,59.0,1420000
Australia,1952,3.18,13500,69.3,8600000
Austria,1952,2.06,6880,67.0,6930000
Azerbaijan,1952,5.25,3890,55.8,3060000
Bahamas,1952,4.02,12100,59.4,81400
Bahrain,1952,6.97,17400,43.5,120000
Bangladesh,1952,6.33,1140,40.8,39500000
Barbados,1952,4.43,2920,60.0,220000
Belarus,1952,2.59,2950,65.0,7680000
Belgium,1952,2.34,9300,68.0,8730000
Belize,1952,6.66,2130,56.5,73400
Benin,1952,5.83,1280,36.4,2260000
Bhutan,1952,6.67,868,37.1,185000
Bolivia,1952,6.75,3420,43.2,3170000
Bosnia and Herzegovina,1952,4.9,1470,54.3,2760000
Botswana,1952,6.49,803,48.1,435000
Brazil,1952,6.15,3080,52.0,57300000
Brunei,1952,7.07,62500,54.5,53900
Bulgaria,1952,2.55,3290,59.6,7370000
Burkina Faso,1952,6.09,524,34.2,4370000
Burundi,1952,6.8,564,40.0,2410000
Cambodia,1952,6.95,494,42.7,4660000
Cameroon,1952,5.49,1570,41.7,4460000
Canada,1952,3.61,13200,68.8,14400000
Cape Verde,1952,6.55,1510,53.6,191000
Central African Republic,1952,5.49,1360,36.7,1360000
Chad,1952,6.09,1040,41.6,2590000
Chile,1952,5.02,5450,55.5,6870000
China,1952,5.97,835,43.5,583000000
Colombia,1952,6.76,3510,53.6,12600000
Comoros,1952,5.93,754,42.6,167000
"Congo, Dem. Rep.",1952,5.98,1840,43.6,12700000
"Congo, Rep.",1952,5.68,2020,39.6,858000
Costa Rica,1952,6.25,3270,58.4,1000000
Cote d'Ivoire,1952,6.74,2570,36.1,2760000
Croatia,1952,2.8,3750,60.9,3920000
Cuba,1952,4.22,4140,60.6,6180000
Cyprus,1952,3.73,3660,65.5,507000
Czech Republic,1952,2.75,7550,66.7,9110000
Denmark,1952,2.54,12500,70.6,4350000
Djibouti,1952,6.31,3300,47.3,64700
Dominican Republic,1952,7.59,2730,50.4,2520000
Ecuador,1952,6.73,3700,52.0,3650000
Egypt,1952,6.69,2400,39.7,21500000
El Salvador,1952,6.3,3420,46.7,2280000
Equatorial Guinea,1952,5.59,945,37.6,234000
Eritrea,1952,6.96,831,37.2,849000
Estonia,1952,2.07,5090,60.9,1130000
Eswatini,1952,6.7,960,43.4,285000
Ethiopia,1952,7.2,532,33.8,18800000
Fiji,1952,6.59,2610,56.9,305000
Finland,1952,3.06,7570,66.4,4100000
France,1952,2.76,9150,67.5,42300000
Gabon,1952,5.07,3160,40.6,479000
Gambia,1952,5.27,1200,40.4,314000
Georgia,1952,2.97,2790,58.4,3590000
Germany,1952,2.11,9200,67.5,70600000
Ghana,1952,6.42,1630,46.3,5270000
Greece,1952,2.4,3950,67.9,7810000
Grenada,1952,5.69,1640,57.6,77200
Guatemala,1952,7.09,3090,40.2,3310000
Guinea,1952,5.99,728,39.1,3100000
Guinea-Bissau,1952,6.42,670,36.4,553000
Guyana,1952,5.8,3850,59.1,433000
Haiti,1952,6.3,2580,36.5,3330000
Honduras,1952,7.5,2460,45.5,1630000
Hungary,1952,2.72,6720,63.9,9600000
Iceland,1952,3.82,8140,72.4,148000
India,1952,5.9,838,36.2,389000000
Indonesia,1952,5.46,1540,38.8,72300000
Iran,1952,6.91,4540,43.3,17900000
Iraq,1952,7.44,10900,38.4,6070000
Ireland,1952,3.41,7370,67.4,2910000
Israel,1952,4.32,4510,65.0,1440000
Italy,1952,2.37,7380,65.9,47400000
Jamaica,1952,4.13,2930,58.9,1470000
Japan,1952,3.07,3680,63.5,85700000
Jordan,1952,7.39,3550,46.9,576000
Kazakhstan,1952,4.39,6260,56.2,7010000
Kenya,1952,7.45,1540,46.1,6420000
Kiribati,1952,6.03,2170,45.9,34300
Kuwait,1952,7.21,7820,54.9,163000
Kyrgyz Republic,1952,4.36,2630,52.1,1800000
Lao,1952,5.94,832,37.5,1760000
Latvia,1952,2.0,4400,62.0,1950000
Lebanon,1952,5.74,10700,61.5,1390000
Lesotho,1952,5.84,410,46.6,729000
Liberia,1952,6.26,1050,38.2,959000
Libya,1952,7.19,3340,41.4,1160000
Lithuania,1952,2.79,6510,64.5,2580000
Luxembourg,1952,1.95,12100,66.3,300000
Madagascar,1952,7.3,2000,40.0,4260000
Malawi,1952,6.82,495,38.3,3070000
Malaysia,1952,6.29,2730,54.4,6450000
Maldives,1952,5.94,1620,30.9,75200
Mali,1952,6.73,627,31.9,4810000
Malta,1952,4.16,1720,65.5,313000
Mauritania,1952,6.3,1110,41.3,683000
Mauritius,1952,5.9,2760,48.5,521000
Mexico,1952,6.72,4410,50.6,29600000
"Micronesia, Fed. Sts.",1952,7.22,1210,53.2,34600
Moldova,1952,3.5,2800,57.6,2430000
Mongolia,1952,5.54,1960,41.7,808000
Montenegro,1952,4.24,4370,61.0,411000
Morocco,1952,6.58,2390,47.1,9530000
Mozambique,1952,6.81,358,36.2,6170000
Myanmar,1952,6.0,529,32.5,18400000
Namibia,1952,5.99,4190,45.2,534000
Nepal,1952,5.97,809,40.0,8830000
Netherlands,1952,3.09,10900,72.2,10300000
New Zealand,1952,3.32,12800,69.3,1990000
Nicaragua,1952,7.16,4380,44.1,1370000
Niger,1952,7.1,994,40.3,2720000
Nigeria,1952,6.35,2160,44.1,39000000
North Korea,1952,3.25,550,27.7,10000000
North Macedonia,1952,4.64,2370,56.1,1320000
Norway,1952,2.61,17500,72.5,3330000
Oman,1952,7.25,3780,35.0,469000
Pakistan,1952,6.6,1160,39.4,38500000
Palestine,1952,7.39,1260,50.8,932000
Panama,1952,5.75,2710,59.0,904000
Papua New Guinea,1952,6.24,973,38.4,2020000
Paraguay,1952,6.5,2430,65.7,1550000
Peru,1952,6.9,4190,40.0,8180000
Philippines,1952,6.99,2220,57.4,19900000
Poland,1952,3.64,4900,61.0,25800000
Portugal,1952,3.1,3740,59.9,8450000
Qatar,1952,6.97,2630,52.1,29900
Romania,1952,3.31,2010,61.1,16800000
Russia,1952,2.88,6980,58.2,106000000
Rwanda,1952,7.98,629,41.6,2310000
Samoa,1952,7.63,3050,53.8,86800
Sao Tome and Principe,1952,6.2,1400,47.9,58600
Saudi Arabia,1952,7.18,11800,49.2,3280000
Senegal,1952,6.68,1840,41.9,2610000
Serbia,1952,3.29,3220,59.3,6960000
Seychelles,1952,5.01,4700,58.5,37500
Sierra Leone,1952,5.9,970,35.9,2090000
Singapore,1952,6.62,2950,60.6,1120000
Slovak Republic,1952,3.53,6200,64.4,3590000
Slovenia,1952,2.67,3600,64.5,1490000
Solomon Islands,1952,6.4,973,45.4,94100
Somalia,1952,7.25,1050,39.4,2350000
South Africa,1952,6.31,6210,48.2,14200000
South Korea,1952,5.25,1150,40.5,19800000
South Sudan,1952,6.65,1980,35.8,2530000
Spain,1952,2.51,4860,64.6,28400000
Sri Lanka,1952,5.84,1910,53.5,8260000
St. Lucia,1952,5.89,2000,53.3,84700
St. Vincent and the Grenadines,1952,7.32,2280,50.7,69300
Sudan,1952,6.65,2000,44.5,6040000
Suriname,1952,6.56,5310,55.8,229000
Sweden,1952,2.24,11800,71.8,7130000
Switzerland,1952,2.3,22500,69.8,4780000
Syria,1952,7.21,2060,51.4,3590000
Tajikistan,1952,5.62,2690,51.4,1640000
Tanzania,1952,6.73,1280,45.1,8050000
Thailand,1952,6.14,1210,53.4,21800000
Timor-Leste,1952,6.45,707,33.4,423000
Togo,1952,6.33,1110,38.4,1440000
Tonga,1952,7.3,1410,60.5,51200
Trinidad and Tobago,1952,5.29,4640,58.4,676000
Tunisia,1952,6.68,2040,43.0,3770000
Turkey,1952,6.67,3130,43.0,22500000
Turkmenistan,1952,5.57,5030,50.7,1260000
Uganda,1952,6.9,1030,39.7,5450000
Ukraine,1952,2.81,4480,62.0,38400000
United Arab Emirates,1952,6.97,1220,44.5,69200
United Kingdom,1952,2.15,11100,69.6,50700000
United States,1952,3.3,16400,68.5,163000000
Uruguay,1952,2.72,7230,66.1,2290000
Uzbekistan,1952,5.55,2100,56.6,6670000
Vanuatu,1952,7.62,1330,45.0,50300
Venezuela,1952,6.46,10500,55.9,5970000
Vietnam,1952,5.31,1020,49.3,26000000
Yemen,1952,7.31,1460,25.2,4780000
Zambia,1952,6.7,2150,45.3,2430000
Zimbabwe,1952,6.78,1190,49.8,2920000
Afghanistan,1953,7.54,2570,34.3,8040000
Albania,1953,6.27,1940,55.4,1350000
Algeria,1953,7.43,4860,48.6,9360000
Angola,1953,7.17,3420,36.6,4820000
Antigua and Barbuda,1953,4.52,3730,59.8,48100
Argentina,1953,3.15,8560,62.2,18100000
Armenia,1953,4.48,2180,59.4,1460000
Australia,1953,3.19,13600,69.9,8780000
Austria,1953,2.09,7170,67.5,6940000
Azerbaijan,1953,5.28,4010,56.1,3140000
Bahamas,1953,4.06,12600,59.8,83400
Bahrain,1953,6.95,18200,44.5,123000
Bangladesh,1953,6.39,1140,41.1,40300000
Barbados,1953,4.39,3040,60.7,223000
Belarus,1953,2.64,3030,65.5,7680000
Belgium,1953,2.36,9540,68.4,8780000
Belize,1953,6.64,2170,57.0,75600
Benin,1953,5.88,1220,37.0,2270000
Bhutan,1953,6.67,878,37.6,189000
Bolivia,1953,6.76,3030,43.5,3220000
Bosnia and Herzegovina,1953,4.7,1460,55.4,2820000
Botswana,1953,6.51,817,48.6,445000
Brazil,1953,6.14,3130,52.5,59000000
Brunei,1953,6.84,64000,55.0,56900
Bulgaria,1953,2.49,3620,64.1,7430000
Burkina Faso,1953,6.12,537,34.8,4410000
Burundi,1953,6.79,577,40.3,2450000
Cambodia,1953,6.95,487,43.0,4780000
Cameroon,1953,5.47,1600,42.1,4540000
Canada,1953,3.7,13500,69.1,14800000
Cape Verde,1953,6.58,1530,53.8,195000
Central African Republic,1953,5.55,1390,37.2,1370000
Chad,1953,6.11,1060,42.0,2640000
Chile,1953,5.11,5740,55.7,7020000
China,1953,5.67,924,44.5,593000000
Colombia,1953,6.75,3610,54.8,13000000
Comoros,1953,6.09,767,43.0,170000
"Congo, Dem. Rep.",1953,5.98,1910,44.0,12900000
"Congo, Rep.",1953,5.69,2050,40.3,875000
Costa Rica,1953,6.33,3640,59.0,1040000
Cote d'Ivoire,1953,6.81,2610,36.7,2840000
Croatia,1953,2.71,4050,61.4,3960000
Cuba,1953,3.96,3800,61.2,6300000
